,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Shawn Mendes,Señorita,0TK2YIli7K1leLovkQiNik,100,0.037,0.759,190960,0.54,0.0,9,0.0945,-6.039,0,0.0287,116.947,4,0.75
1,Drake,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,92,0.101,0.831,205427,0.502,0.0,10,0.122,-4.045,0,0.046,100.541,4,0.101
2,Lizzo,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,90,0.11,0.715,173325,0.624,0.0,4,0.123,-3.046,0,0.114,158.087,4,0.412
3,Lil Nas X,Panini,6fTt0CH2t0mdeB2N9XFG5r,91,0.342,0.703,114893,0.594,0.0,5,0.123,-6.146,0,0.0752,153.848,4,0.475
4,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,96,0.328,0.701,194088,0.425,0.13,7,0.1,-10.965,1,0.375,135.128,4,0.562
5,Post Malone,Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,93,0.447,0.58,174960,0.653,0.0,5,0.111,-3.818,1,0.0745,150.231,4,0.175
6,DaBaby,Suge,2gwkD6igEhQbDQegRCcdoB,87,0.0608,0.876,163320,0.662,0.0,2,0.127,-6.482,0,0.426,75.445,4,0.844
7,Lil Tecca,Ransom,1kBbgxAUc4HQv7cgIayIDH,88,0.0204,0.745,131280,0.642,0.0,7,0.0658,-6.257,0,0.287,179.974,4,0.226
8,Lil Nas X,Old Town Road - Remix,6u7jPi22kF8CTQ3rb9DHE7,95,0.0533,0.878,157067,0.619,0.0,6,0.113,-5.56,1,0.102,136.041,4,0.639
9,Young Thug,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,89,0.0247,0.796,200107,0.586,0.0,4,0.132,-6.946,0,0.147,97.981,4,0.179
